12位,弓箭手,茉娜德,00:38.30,2019.10.20 11:20:10,2019.10.22,第一週
12位,刺客,璇兒?,00:43.30,2019.10.20 17:32:33,2019.10.22,第一週
12位,乾坤士,方米,00:46.20,2019.10.17 18:10:58,2019.10.22,第一週
13位,劍士,夜深了?,00:11.70,2019.10.19 11:34:47,2019.10.22,第一週
13位,拳士,伊璃?,00:19.40,2019.10.18 21:30:06,2019.10.22,第一週
13位,咒術師,月?,00:20.0,2019.10.19 06:36:04,2019.10.22,第一週
13位,鬥士,龍龍55,00:20.0,2019.10.19 00:46:03,2019.10.22,第一週
13位,槍擊士,?青羽梟,00:26.60,2019.10.17 18:48:59,2019.10.22,第一週
13位,召喚師,MissXuan,00:28.30,2019.10.19 01:30:41,2019.10.22,第一週
13位,氣功士,詩情,00:29.60,2019.10.17 23:03:17,2019.10.22,第一週
13位,燐劍士,磪有情,00:32.40,2019.10.16 19:22:48,2019.10.22,第一週
13位,力士,小高冷?,00:33.90,2019.10.20 03:40:20,2019.10.22,第一週
13位,弓箭手,宸昀,00:41.70,2019.10.21 19:39:18,2019.10.22,第一週
13位,刺客,妲己?狐,00:44.60,2019.10.20 22:12:37,2019.10.22,第一週
13位,乾坤士,百裂肉球,00:48.10,2019.10.17 07:50:21,2019.10.22,第一週
14位,劍士,同性才是人間真愛?,00:12.90,2019.10.17 12:36:14,2019.10.22,第一週
14位,咒術師,HLHope,00:20.10,2019.10.20 12:29:00,2019.10.22,第一週
14位,鬥士,叔叔喜歡直接剛正面,00:21.0,2019.10.18 00:49:19,2019.10.22,第一週
14位,拳士,Ruler?,00:21.40,2019.10.19 00:47:15,2019.10.22,第一週
14位,槍擊士,蘇打綠?,00:28.0,2019.10.19 19:45:25,2019.10.22,第一週
14位,召喚師,耍廢?,00:28.80,2019.10.18 21:21:50,2019.10.22,第一週
14位,氣功士,CandyBoBo,00:30.70,2019.10.21 20:31:52,2019.10.22,第一週
14位,燐劍士,柒撚懵懵,00:32.80,2019.10.21 23:37:10,2019.10.22,第一週
14位,力士,杜拜阿布達比的富家男,00:34.10,2019.10.18 17:00:27,2019.10.22,第一週
14位,弓箭手,嫣雨晴,00:43.90,2019.10.20 13:38:30,2019.10.22,第一週
14位,刺客,財政部,00:44.90,2019.10.18 16:23:21,2019.10.22,第一週
14位,乾坤士,蕭墨染,00:49.40,2019.10.20 10:08:45,2019.10.22,第一週
15位,劍士,花生魷,00:12.90,2019.10.19 13:35:17,2019.10.22,第一週
15位,咒術師,菈菈唲,00:20.10,2019.10.21 21:28:58,2019.10.22,第一週
15位,鬥士,亞瑟?潘德拉貢,00:21.0,2019.10.18 02:14:45,2019.10.22,第一週
15位,拳士,Yuan爻,00:22.0,2019.10.17 12:53:17,2019.10.22,第一週
15位,槍擊士,雨天?,00:28.80,2019.10.17 02:20:40,2019.10.22,第一週
15位,召喚師,庫洛司,00:29.40,2019.10.22 02:23:47,2019.10.22,第一週
15位,氣功士,Crazy南,00:33.40,2019.10.17 18:45:54,2019.10.22,第一週
15位,燐劍士,遊星躑躅,00:34.20,2019.10.19 13:19:31,2019.10.22,第一週
15位,力士,胖胖空,00:34.90,2019.10.22 00:52:01,2019.10.22,第一週
15位,弓箭手,芷湘弦?,00:44.20,2019.10.17 01:32:23,2019.10.22,第一週
15位,刺客,JusticeMem,00:45.50,2019.10.22 00:15:09,2019.10.22,第一週
15位,乾坤士,味噌湯?,00:52.20,2019.10.19 18:33:29,2019.10.22,第一週
16位,劍士,緋穆晨芯?,00:13.10,2019.10.21 22:42:22,2019.10.22,第一週
16位,拳士,玢鶇?,00:22.10,2019.10.17 14:11:05,2019.10.22,第一週
16位,鬥士,素鳶輕暖畫涼箏,00:22.20,2019.10.17 16:06:56,2019.10.22,第一週
16位,咒術師,?緋雨,00:23.40,2019.10.19 20:15:22,2019.10.22,第一週
16位,召喚師,加沐,00:29.50,2019.10.19 23:12:18,2019.10.22,第一週
16位,氣功士,?Vanessa?,00:33.40,2019.10.17 22:12:41,2019.10.22,第一週
16位,槍擊士,欣欣?,00:33.90,2019.10.18 14:19:10,2019.10.22,第一週
16位,燐劍士,汀小貓?,00:35.20,2019.10.18 18:23:57,2019.10.22,第一週
16位,力士,藏鱷,00:35.60,2019.10.17 16:50:25,2019.10.22,第一週
16位,弓箭手,魔徒,00:46.20,2019.10.19 18:49:07,2019.10.22,第一週
16位,刺客,黑夜侵襲?,00:50.60,2019.10.16 21:40:57,2019.10.22,第一週
16位,乾坤士,淺晴?,00:54.60,2019.10.19 00:29:03,2019.10.22,第一週
17位,劍士,齡夢,00:13.40,2019.10.17 22:34:42,2019.10.22,第一週
17位,鬥士,祤鷹,00:22.40,2019.10.19 00:04:26,2019.10.22,第一週
17位,拳士,陸奧十三,00:23.10,2019.10.20 18:19:39,2019.10.22,第一週
17位,咒術師,夢醒淑芬?,00:26.70,2019.10.17 12:36:56,2019.10.22,第一週
17位,召喚師,池內亞也,00:29.60,2019.10.16 22:59:50,2019.10.22,第一週
17位,氣功士,天璇?,00:33.60,2019.10.19 07:04:29,2019.10.22,第一週
17位,槍擊士,Murie,00:34.40,2019.10.19 04:37:07,2019.10.22,第一週
17位,燐劍士,星語雪碧,00:35.90,2019.10.18 00:31:48,2019.10.22,第一週
17位,力士,語芯妍,00:36.80,2019.10.18 02:00:12,2019.10.22,第一週
17位,弓箭手,湧嵐,00:46.30,2019.10.18 18:16:41,2019.10.22,第一週
17位,刺客,緋玥之楓,00:50.60,2019.10.17 00:08:12,2019.10.22,第一週
17位,乾坤士,姈羽詩,00:54.80,2019.10.18 19:43:13,2019.10.22,第一週
18位,劍士,淘兒,00:14.10,2019.10.18 17:57:36,2019.10.22,第一週
18位,鬥士,NiTaMaB,00:23.70,2019.10.19 18:33:05,2019.10.22,第一週
18位,拳士,拼命四狼,00:24.0,2019.10.21 19:39:41,2019.10.22,第一週
18位,咒術師,娜伍思嘉,00:27.30,2019.10.19 16:21:28,2019.10.22,第一週
18位,召喚師,起司喵喵,00:30.10,2019.10.21 23:01:35,2019.10.22,第一週
18位,氣功士,珍妮花?,00:34.90,2019.10.18 02:05:10,2019.10.22,第一週
18位,力士,蜜蜂哥哥,00:36.90,2019.10.20 20:05:30,2019.10.22,第一週
18位,燐劍士,苓蓮,00:37.0,2019.10.17 22:52:58,2019.10.22,第一週
18位,槍擊士,冰冬a囝仔?,00:37.50,2019.10.17 13:56:00,2019.10.22,第一週
18位,刺客,?臭跩貓,00:50.90,2019.10.18 03:00:39,2019.10.22,第一週
18位,弓箭手,寂靜子?,00:52.80,2019.10.22 00:10:25,2019.10.22,第一週
18位,乾坤士,天使便便,00:55.20,2019.10.21 21:23:47,2019.10.22,第一週
19位,劍士,月隱?,00:14.20,2019.10.19 16:54:01,2019.10.22,第一週
19位,拳士,欣月,00:25.80,2019.10.18 18:30:14,2019.10.22,第一週
19位,鬥士,小胖次?,00:26.10,2019.10.18 18:59:13,2019.10.22,第一週
19位,咒術師,宓宣,00:27.40,2019.10.17 11:28:02,2019.10.22,第一週
19位,召喚師,冰欣玥,00:32.20,2019.10.20 12:31:40,2019.10.22,第一週
19位,氣功士,空白Cc,00:35.30,2019.10.21 11:04:11,2019.10.22,第一週
19位,槍擊士,?琰傾絮,00:37.50,2019.10.21 13:55:19,2019.10.22,第一週
19位,力士,莫知名,00:37.70,2019.10.17 20:32:12,2019.10.22,第一週
19位,燐劍士,零度?,00:37.70,2019.10.17 23:15:33,2019.10.22,第一週
19位,刺客,榮瑋長的帥?榮瑋低調不說,00:51.20,2019.10.17 13:39:16,2019.10.22,第一週
19位,弓箭手,梨花?,00:53.90,2019.10.17 21:40:22,2019.10.22,第一週
19位,乾坤士,多麗米亞,00:55.70,2019.10.18 21:01:32,2019.10.22,第一週
20位,劍士,Sazabi,00:14.50,2019.10.22 01:22:48,2019.10.22,第一週
20位,鬥士,溦特,00:26.40,2019.10.18 21:41:23,2019.10.22,第一週
20位,拳士,Sajni,00:26.60,2019.10.21 17:54:26,2019.10.22,第一週
20位,咒術師,?妮妮,00:27.90,2019.10.18 14:32:01,2019.10.22,第一週
20位,召喚師,?玥凝雪,00:33.20,2019.10.20 04:09:52,2019.10.22,第一週
20位,氣功士,隔壁小生,00:35.70,2019.10.21 19:17:55,2019.10.22,第一週
20位,槍擊士,蒼瑩,00:38.50,2019.10.18 18:18:49,2019.10.22,第一週
20位,燐劍士,小白?,00:38.80,2019.10.18 11:49:15,2019.10.22,第一週
20位,力士,愛??,00:39.30,2019.10.18 04:13:33,2019.10.22,第一週
20位,刺客,Aeyko,00:51.40,2019.10.19 01:54:07,2019.10.22,第一週
20位,弓箭手,蘿莎莉婭?,00:54.0,2019.10.22 01:41:19,2019.10.22,第一週
20位,乾坤士,喵喵蟲咖波,00:56.40,2019.10.20 01:45:55,2019.10.22,第一週
21位,劍士,整天想死的魚,00:14.60,2019.10.17 19:14:13,2019.10.22,第一週
21位,鬥士,墨川奈沙庫,00:27.80,2019.10.16 14:26:34,2019.10.22,第一週
21位,拳士,月光琵琶曲,00:28.80,2019.10.19 14:33:26,2019.10.22,第一週
21位,咒術師,海膽泡麵,00:29.80,2019.10.19 10:37:05,2019.10.22,第一週
21位,召喚師,Cute綺綺o,00:33.40,2019.10.19 00:02:05,2019.10.22,第一週
21位,氣功士,琴吹七籟,00:37.0,2019.10.17 05:55:06,2019.10.22,第一週
21位,槍擊士,叔叔喜歡門關起來射兩下,00:39.50,2019.10.17 04:52:45,2019.10.22,第一週
21位,燐劍士,搖滾可可,00:39.70,2019.10.19 12:43:29,2019.10.22,第一週
21位,力士,米開朗基羅?蒼,00:39.90,2019.10.16 17:42:49,2019.10.22,第一週
21位,刺客,Xanis,00:51.50,2019.10.16 12:15:14,2019.10.22,第一週
21位,弓箭手,Xiao月霜,00:55.20,2019.10.16 13:38:14,2019.10.22,第一週
21位,乾坤士,夜越風驊,00:58.10,2019.10.17 13:04:50,2019.10.22,第一週
22位,劍士,?蛋?,00:14.90,2019.10.17 22:26:02,2019.10.22,第一週
22位,鬥士,醬醬爆,00:27.80,2019.10.20 14:55:57,2019.10.22,第一週
22位,拳士,?尼尼,00:29.50,2019.10.19 00:58:22,2019.10.22,第一週
22位,咒術師,Dandin沉默?,00:30.30,2019.10.19 14:05:11,2019.10.22,第一週
22位,召喚師,向日葵自走砲,00:33.60,2019.10.18 01:52:09,2019.10.22,第一週
22位,氣功士,?花舞鳥,00:37.80,2019.10.19 16:27:50,2019.10.22,第一週
22位,槍擊士,槍?玫瑰?沁悸,00:40.0,2019.10.20 01:13:46,2019.10.22,第一週
22位,燐劍士,青陌?,00:40.0,2019.10.19 02:12:17,2019.10.22,第一週
22位,力士,阿鬼匠,00:40.10,2019.10.16 12:54:14,2019.10.22,第一週
22位,刺客,祈祈?,00:52.0,2019.10.20 13:11:53,2019.10.22,第一週
22位,弓箭手,玥夜楓晴,00:55.30,2019.10.21 21:30:39,2019.10.22,第一週
22位,乾坤士,鉯禹,00:59.20,2019.10.18 01:03:38,2019.10.22,第一週
23位,劍士,朕?,00:15.60,2019.10.17 01:29:18,2019.10.22,第一週
23位,鬥士,一姝兒,00:27.90,2019.10.16 11:53:43,2019.10.22,第一週
23位,拳士,聖奇諾,00:29.80,2019.10.19 19:25:22,2019.10.22,第一週
23位,咒術師,滄語嫣,00:30.70,2019.10.16 19:44:17,2019.10.22,第一週
23位,召喚師,?球仔King,00:34.20,2019.10.19 19:54:42,2019.10.22,第一週
23位,氣功士,冷豔雪,00:38.20,2019.10.17 23:40:26,2019.10.22,第一週
23位,槍擊士,笑顏莫若詩,00:40.10,2019.10.21 13:30:48,2019.10.22,第一週
23位,燐劍士,巴瑞歐?,00:40.50,2019.10.19 16:15:46,2019.10.22,第一週
23位,力士,紫楓凜,00:41.90,2019.10.20 13:29:41,2019.10.22,第一週
23位,刺客,告?白,00:52.20,2019.10.19 01:19:20,2019.10.22,第一週
23位,弓箭手,千??,00:56.40,2019.10.19 12:00:19,2019.10.22,第一週
23位,乾坤士,丰芸兒,01:00.30,2019.10.21 10:37:23,2019.10.22,第一週
24位,劍士,艾蕾歐諾拉維爾塔利亞,00:16.10,2019.10.19 13:26:04,2019.10.22,第一週
24位,鬥士,輝姬醬,00:28.60,2019.10.17 21:59:33,2019.10.22,第一週
24位,咒術師,?葡萄,00:31.0,2019.10.19 01:22:03,2019.10.22,第一週
24位,拳士,咖啡凍鮮奶茶,00:31.90,2019.10.21 18:41:24,2019.10.22,第一週
24位,召喚師,Bubbles?泡泡,00:34.50,2019.10.18 01:11:32,2019.10.22,第一週
24位,氣功士,祅賊賊,00:39.30,2019.10.16 20:03:14,2019.10.22,第一週
24位,燐劍士,我下班了,00:40.90,2019.10.20 10:40:18,2019.10.22,第一週
24位,槍擊士,芸之?,00:41.60,2019.10.17 21:55:32,2019.10.22,第一週
24位,力士,?蛋蛋胖,00:42.50,2019.10.17 21:50:10,2019.10.22,第一週
24位,刺客,湯尼尼?,00:53.20,2019.10.16 17:33:15,2019.10.22,第一週
24位,弓箭手,莉花緒凜,00:56.40,2019.10.20 20:04:55,2019.10.22,第一週
24位,乾坤士,楓御千代,01:01.10,2019.10.19 13:53:46,2019.10.22,第一週
25位,劍士,狂眾,00:16.40,2019.10.16 19:13:28,2019.10.22,第一週
25位,鬥士,惡魔奶娃,00:28.60,2019.10.18 15:00:55,2019.10.22,第一週
25位,咒術師,紫格格,00:32.20,2019.10.17 22:56:18,2019.10.22,第一週
25位,拳士,諾羽,00:32.20,2019.10.20 12:34:34,2019.10.22,第一週
25位,召喚師,城堡,00:34.60,2019.10.19 09:24:34,2019.10.22,第一週
25位,氣功士,??小婕,00:40.50,2019.10.17 11:44:33,2019.10.22,第一週
25位,燐劍士,怡然游走,00:41.90,2019.10.22 00:25:00,2019.10.22,第一週
25位,槍擊士,阿雪OuO,00:42.30,2019.10.20 12:23:54,2019.10.22,第一週
25位,力士,灰??,00:43.50,2019.10.20 16:44:35,2019.10.22,第一週
25位,刺客,不夠,00:53.30,2019.10.18 14:38:19,2019.10.22,第一週
25位,弓箭手,弓R小,00:58.90,2019.10.18 20:33:48,2019.10.22,第一週
25位,乾坤士,沐雲汐,01:01.90,2019.10.22 00:13:47,2019.10.22,第一週
26位,劍士,Oo紅豆湯圓oO,00:16.40,2019.10.20 15:59:46,2019.10.22,第一週
26位,鬥士,檸小若,00:30.20,2019.10.16 12:12:33,2019.10.22,第一週
26位,拳士,幽魂戈德林,00:32.30,2019.10.20 17:21:43,2019.10.22,第一週
26位,咒術師,蘋兒?,00:33.40,2019.10.22 01:59:52,2019.10.22,第一週
26位,召喚師,冰羽毛,00:35.60,2019.10.20 19:03:01,2019.10.22,第一週
26位,氣功士,魔小道,00:40.60,2019.10.19 01:24:36,2019.10.22,第一週
26位,燐劍士,zLiliTh,00:42.90,2019.10.19 23:27:28,2019.10.22,第一週
26位,槍擊士,煌舞極憶,00:43.50,2019.10.19 00:12:14,2019.10.22,第一週
26位,力士,臻楓,00:43.90,2019.10.17 23:43:43,2019.10.22,第一週
26位,刺客,新手惹人愛,00:54.80,2019.10.20 03:06:25,2019.10.22,第一週
26位,弓箭手,馥寶?,00:59.60,2019.10.19 22:27:09,2019.10.22,第一週
